,country_code,country_name,year,skill_type_digital,pen_percentage
537,jp,Japan,2017,digital-software_and_hardware,25.49019608
538,jp,Japan,2017,digital-disruptive,33.33333333
539,jp,Japan,2017,other,33.33333333
540,jp,Japan,2018,digital-basic,4.093567251
541,jp,Japan,2018,digital-applied,4.093567251
542,jp,Japan,2018,digital-software_and_hardware,18.71345029
543,jp,Japan,2018,digital-disruptive,18.71345029
544,jp,Japan,2018,other,54.38596491
545,jp,Japan,2019,digital-basic,2.684563758
546,jp,Japan,2019,digital-applied,4.697986577
547,jp,Japan,2019,digital-software_and_hardware,18.12080537
548,jp,Japan,2019,digital-disruptive,21.47651007
549,jp,Japan,2019,other,53.02013423
550,jp,Japan,2020,digital-basic,0
551,jp,Japan,2020,digital-applied,2.923976608
552,jp,Japan,2020,digital-software_and_hardware,15.20467836
553,jp,Japan,2020,digital-disruptive,15.20467836
554,jp,Japan,2020,other,66.66666667
555,jp,Japan,2021,digital-basic,0.819672131
556,jp,Japan,2021,digital-applied,0.819672131
557,jp,Japan,2021,digital-software_and_hardware,18.85245902
558,jp,Japan,2021,digital-disruptive,23.7704918
559,jp,Japan,2021,other,55.73770492
560,mx,Mexico,2015,digital-basic,9.288627096
561,mx,Mexico,2015,digital-applied,8.065246942
562,mx,Mexico,2015,digital-software_and_hardware,6.343452651
563,mx,Mexico,2015,digital-disruptive,2.129587676
564,mx,Mexico,2015,other,74.17308564
565,mx,Mexico,2016,digital-basic,10.0422833
566,mx,Mexico,2016,digital-applied,7.928118393
567,mx,Mexico,2016,digital-software_and_hardware,6.183932347
